"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При клике на вопрос открывается правильный ответ","67","Проверка ответа в разделе FAQ","tests","2026-08-13","passed","2026-08-13","TestFAQ","test_faq","",""
"При клике на вопрос открывается правильный ответ","67","Проверка ответа в разделе FAQ","tests","2026-08-13","passed","2026-08-13","TestFAQ","test_faq","",""
"При клике на вопрос открывается правильный ответ","68","Проверка ответа в разделе FAQ","tests","2026-08-13","passed","2026-08-13","TestFAQ","test_faq","",""
"Проверка полного заказа самоката с двух кнопок 'Заказать' входа и разных данных","23515","Успешный заказ самоката","tests","2026-08-13","passed","2026-08-13","TestOrder","test_order","",""
"Проверка полного заказа самоката с двух кнопок 'Заказать' входа и разных данных","23533","Успешный заказ самоката","tests","2026-08-13","passed","2026-08-13","TestOrder","test_order","",""
"Проверка полного заказа самоката с двух кнопок 'Заказать' входа и разных данных","23517","Успешный заказ самоката","tests","2026-08-13","passed","2026-08-13","TestOrder","test_order","",""
"При клике на вопрос открывается правильный ответ","66","Проверка ответа в разделе FAQ","tests","2026-08-13","passed","2026-08-13","TestFAQ","test_faq","",""
"При клике на вопрос открывается правильный ответ","66","Проверка ответа в разделе FAQ","tests","2026-08-13","passed","2026-08-13","TestFAQ","test_faq","",""
"Проверка полного заказа самоката с двух кнопок 'Заказать' входа и разных данных","23500","Успешный заказ самоката","tests","2026-08-13","passed","2026-08-13","TestOrder","test_order","",""
"При клике на вопрос открывается правильный ответ","67","Проверка ответа в разделе FAQ","tests","2026-08-13","passed","2026-08-13","TestFAQ","test_faq","",""
"При клике на вопрос открывается правильный ответ","66","Проверка ответа в разделе FAQ","tests","2026-08-13","passed","2026-08-13","TestFAQ","test_faq","",""
"При клике на вопрос открывается правильный ответ","65","Проверка ответа в разделе FAQ","tests","2026-08-13","passed","2026-08-13","TestFAQ","test_faq","",""
